,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
1144,Matagami,NG,9.67,8.4,65.64,99,56,2.91
1145,Orissaare,EE,58.56,23.08,51.8,93,92,6.93
1146,Huancavelica,PE,-12.79,-74.97,38.19,73,20,3.58
1150,Hanstholm,DK,57.12,8.61,57.54,91,44,19.01
1151,Palmas,BR,-10.18,-48.33,75.2,60,0,4.7
1154,Westport,IE,53.8,-9.52,48.45,92,0,3.36
1157,Bodaybo,RU,57.85,114.2,58.17,100,92,2.68
1163,Acapulco,MX,16.86,-99.88,84.2,79,75,2.24
1165,Mackay,CA,53.65,-115.58,77.9,44,40,8.05
1166,Havelock,US,34.88,-76.9,71.96,94,20,8.05
1169,Dromolaxia,CY,34.88,33.59,73.4,94,0,3.36
1172,Luau,CD,-10.7,22.23,58.89,52,8,2.91
1173,Misratah,LY,32.38,15.09,73.74,87,0,12.97
1183,Nanortalik,GL,60.14,-45.24,36.12,100,88,11.18
1184,San Quintin,PH,17.54,120.52,84.2,79,40,2.24
1185,Novyy Urengoy,RU,66.08,76.63,63.39,89,0,4.92
1186,Torres,BR,-29.34,-49.73,54.12,100,92,1.9
1187,Ayaviri,PE,-14.88,-70.59,32.43,58,0,5.37
1188,Hamilton,BM,32.3,-64.78,78.8,88,20,13.87
1193,Opuwo,NA,-18.06,13.84,43.41,59,0,2.68
1197,Bronnoysund,NO,65.46,12.2,50,100,92,16.11
1202,Shu,KZ,43.6,73.76,61.14,71,0,7.16
1207,San-Pedro,CI,4.75,-6.64,75.27,97,92,7.49
1209,Halifax,CA,44.65,-63.58,66.2,77,75,9.17
1213,Andra,RU,62.52,65.89,54.39,80,0,5.7
1217,Samarai,PG,-10.62,150.67,77.52,100,80,15.21
1225,Labuhan,ID,-2.54,115.51,75.72,88,32,2.91
1226,Mayumba,GA,-3.44,10.65,71.31,98,24,5.26
1227,Verkhnevilyuysk,RU,63.45,120.31,72.21,47,36,3.58
1236,Fougeres,FR,48.35,-1.2,57.2,71,0,4.7
1238,Garowe,SO,8.41,48.48,78.42,58,64,13.42
1239,Saint George,GR,39.45,22.34,66.2,82,75,3.36
1241,San Cristobal,EC,-0.39,-78.55,51.8,81,20,9.17
1242,Kuvandyk,RU,51.48,57.35,56.19,74,0,2.8
1244,Zeya,RU,53.74,127.27,66.63,56,68,3.47
1249,Kirakira,SB,-10.46,161.92,78.78,100,80,10.63
1252,Kainantu,PG,-6.29,145.87,67.08,86,0,2.01
1257,Santa Maria,BR,-29.69,-53.81,49.98,100,92,11.41
1258,Sorong,ID,-0.86,131.25,79.32,100,20,2.24
1259,Secunda,ZA,-26.52,29.2,31.44,60,0,4.59
1261,Novobirilyussy,RU,56.95,90.69,70.77,58,8,8.61
1263,Katherine,AU,-14.47,132.26,71.6,60,12,9.17
1264,Kutum,SD,14.2,24.66,74.19,48,32,9.51
1265,Palmas Bellas,PA,9.23,-80.09,78.8,88,40,4.7
1267,Buraydah,SA,26.33,43.97,84.2,23,0,5.82
1269,Kargasok,RU,59.06,80.87,62.67,87,8,2.24
1278,Kashin,RU,57.36,37.61,61.68,72,88,7.27
1280,The Valley,AI,18.22,-63.06,82.4,69,20,9.17
1281,Angoram,PG,-4.06,144.07,78.06,94,24,2.01
1282,Ananas,HT,19.25,-71.96,72.84,87,68,2.46
1283,Freeport,BS,26.54,-78.7,80.76,100,56,14.99
1287,Qingyuan,CN,27.62,119.06,82.47,72,0,2.68
1293,Manta,RO,45.1,24.1,51.33,83,44,3.91
1295,Speedway,US,39.8,-86.27,79.5,57,1,3.13
1297,Fengxian,CN,33.91,106.52,66.36,99,92,2.35
1299,Cayenne,GF,4.94,-52.33,73.4,100,90,6.04
1302,Maceio,BR,-9.67,-35.74,73.4,83,40,5.82
1303,Muzhi,RU,65.4,64.7,51.69,83,0,3.13
1305,Laizhou,CN,37.18,119.93,74.82,87,80,13.42
1306,Harrisonburg,US,38.45,-78.87,77.5,65,1,4.7
1307,Banda Aceh,ID,5.56,95.32,75.81,98,44,2.57
1314,Charagua,BO,-19.79,-63.2,58.71,60,76,4.36
1317,Zaykovo,RU,57.56,62.76,60.24,64,44,5.14
1319,Akdagmadeni,TR,39.66,35.88,50.34,93,0,2.8
1331,Concord,US,37.98,-122.03,75.09,60,1,17.22
1335,Fare,PF,-16.7,-151.02,81.48,96,0,18.01
1340,Cap-aux-Meules,CA,47.38,-61.86,50,93,90,13.87
1344,Moyale,ET,3.52,39.05,65.91,86,80,5.93
1347,Churapcha,RU,62,132.43,72.84,50,12,3.69
1350,Rio Gallegos,AR,-51.62,-69.22,33.8,86,0,11.41
1353,Crotone,IT,39.09,17.12,73.38,100,48,6.49
1354,Fairbanks,US,64.84,-147.72,67.37,34,36,8.05
1355,Methoni,GR,36.82,21.7,66.2,93,40,6.6
1358,Hualmay,PE,-11.1,-77.61,57.81,99,32,4.81
1359,Palmer,US,61.6,-149.11,58.42,67,90,6.93
1360,Lincoln,US,40.8,-96.67,80.98,65,1,8.05
1361,Callaway,US,46.98,-95.91,72.72,60,40,13.87
1367,Dzerzhinsk,RU,56.24,43.46,71.6,68,0,4.47
1368,Sisimiut,GL,66.94,-53.67,31.44,100,76,1.23
1372,Umtata,ZA,-31.59,28.78,35.04,76,0,2.35
1375,Namatanai,PG,-3.66,152.44,82.2,100,44,10.74
1376,Revda,RU,67.94,34.55,42.78,83,0,2.13
1377,Kodinsk,RU,58.6,99.18,70.86,73,0,3.47
1380,Terney,RU,45.05,136.61,53.94,93,0,3.36
1384,Antalaha,MG,-14.9,50.28,69.33,100,100,13.65
1388,Baykit,RU,61.68,96.39,70.86,78,0,3.69
1397,Middlebury,US,44.01,-73.17,64.38,82,75,4.7
1399,Orel-Izumrud,RU,43.46,39.92,68,88,20,8.95
1401,Severo-Zadonsk,RU,54.04,38.4,56.91,90,0,8.39
1410,Lagos,NG,6.46,3.39,77,94,20,2.24
1411,Grootfontein,NA,-19.56,18.1,38.28,66,0,2.91
1414,Easley,US,34.83,-82.58,75.45,100,1,4.92
1415,Colimes,EC,-1.55,-80.01,77,73,75,12.75
1416,Bilma,NE,18.69,12.92,81.39,31,20,3.36
1425,Lakes Entrance,AU,-37.88,147.99,51.24,92,80,9.73
1426,Suez,EG,29.97,32.54,71.49,73,0,3.13
1427,Horki,BY,54.29,30.98,51.06,84,48,4.7
1428,Dubbo,AU,-32.25,148.6,51.8,66,0,9.17
1431,Sioux Lookout,CA,50.1,-91.92,69.8,37,20,5.82
1434,Fort Morgan,US,40.25,-103.8,57.47,67,40,15.55
1440,Izumo,JP,35.37,132.75,78.8,65,0,3.36
1441,Linqiong,CN,30.42,103.46,78.8,94,40,2.01
1445,Nizwa,OM,22.93,57.53,78.78,24,68,1.9
1450,Touros,BR,-5.2,-35.46,79.5,80,88,19.01
1457,Domanivka,UA,47.63,30.98,52.14,81,0,2.68
1458,Port Blair,IN,11.67,92.75,82.11,100,88,20.02
1467,Miram Shah,PK,33.01,70.07,62.94,70,0,2.57
1469,Aykhal,RU,65.95,111.51,70.32,65,32,4.7
1473,Lamu,ID,0.57,122.3,72.39,100,88,1.68
1477,Roebourne,AU,-20.77,117.15,56.28,38,0,18.12
1484,Rodrigues Alves,BR,-7.74,-72.65,77,88,75,1.12
1485,Lobito,AO,-12.35,13.55,54.48,87,8,2.35
1488,Sayat,TM,38.78,63.88,66.2,45,0,9.17
1491,Turukhansk,RU,65.8,87.96,64.74,87,44,4.47
1499,Sterling,US,39,-77.4,78.48,78,90,4.7
